,Year,SLCP,CH4fe
165,165,0.0,0.0376627632554766
166,166,0.0,0.0376183833312561
167,167,0.0,0.0375742761781335
168,168,0.0,0.037530436773962
169,169,0.0,0.0374868602262439
170,170,0.0,0.0374435417686452
171,171,0.0,0.0374004767576057
172,172,0.0,0.0373576606690382
173,173,0.0,0.037315089095119
174,174,0.0,0.0372727577411637
175,175,0.0,0.0372306624225884
176,176,0.0,0.0371887990619504
177,177,0.0,0.0371471636860731
178,178,0.0,0.0371057524232436
179,179,0.0,0.0370645615004896
180,180,0.0,0.0370235872409283
181,181,0.0,0.0369828260611863
182,182,0.0,0.0369422744688904
183,183,0.0,0.0369019290602252
184,184,0.0,0.0368617865175566
185,185,0.0,0.0368218436071209
186,186,0.0,0.036782097176773
187,187,0.0,0.0367425441537995
188,188,0.0,0.036703181542787
189,189,0.0,0.0366640064235509
190,190,0.0,0.0366250159491178
191,191,0.0,0.0365862073437641
192,192,0.0,0.0365475779011061
193,193,0.0,0.0365091249822425
194,194,0.0,0.0364708460139469
195,195,0.0,0.0364327384869088
196,196,0.0,0.0363947999540222
197,197,0.0,0.0363570280287202
198,198,0.0,0.0363194203833547
199,199,0.0,0.0362819747476202
200,200,0.0,0.0362446889070189
201,201,0.0,0.0362075607013685
202,202,0.0,0.0361705880233501
203,203,0.0,0.0361337688170937
204,204,0.0,0.0360971010768045
205,205,0.0,0.0360605828454237
206,206,0.0,0.0360242122133269
207,207,0.0,0.0359879873170573
208,208,0.0,0.0359519063380933
209,209,0.0,0.0359159675016481
210,210,0.0,0.0358801690755032
211,211,0.0,0.0358445093688733
212,212,0.0,0.0358089867313002
213,213,0.0,0.0357735995515777
214,214,0.0,0.0357383462567067
215,215,0.0,0.0357032253108751
216,216,0.0,0.0356682352144689
217,217,0.0,0.0356333745031082
218,218,0.0,0.0355986417467076
219,219,0.0,0.0355640355485663
220,220,0.0,0.0355295545444774
221,221,0.0,0.0354951974018664
222,222,0.0,0.0354609628189478
223,223,0.0,0.0354268495239099
224,224,0.0,0.0353928562741161
225,225,0.0,0.0353589818553315
226,226,0.0,0.0353252250809701
227,227,0.0,0.0352915847913594
228,228,0.0,0.0352580598530283
229,229,0.0,0.0352246491580124
230,230,0.0,0.0351913516231777
231,231,0.0,0.0351581661895636
232,232,0.0,0.0351250918217438
233,233,0.0,0.0350921275072023
234,234,0.0,0.0350592722557288
235,235,0.0,0.0350265250988289
236,236,0.0,0.0349938850891505
237,237,0.0,0.0349613512999261
238,238,0.0,0.0349289228244287
239,239,0.0,0.0348965987754451
240,240,0.0,0.0348643782847598
241,241,0.0,0.0348322605026563
242,242,0.0,0.0348002445974288
243,243,0.0,0.0347683297549096
244,244,0.0,0.0347365151780071
245,245,0.0,0.0347048000862587
246,246,0.0,0.034673183715392
247,247,0.0,0.0346416653169028
248,248,0.0,0.0346102441576387
249,249,0.0,0.0345789195194006
250,250,0.0,0.034547690698547
251,251,0.0,0.0345165570056173
252,252,0.0,0.0344855177649585
253,253,0.0,0.0344545723143654
254,254,0.0,0.0344237200047301
255,255,0.0,0.0343929601997001
256,256,0.0,0.0343622922753459
257,257,0.0,0.034331715619838
258,258,0.0,0.0343012296331324
259,259,0.0,0.0342708337266637
260,260,0.0,0.0342405273230479
261,261,0.0,0.0342103098557922
262,262,0.0,0.0341801807690127
263,263,0.0,0.0341501395171603
264,264,0.0,0.0341201855647528
265,265,0.0,0.0340903183861161
266,266,0.0,0.0340605374651298
267,267,0.0,0.034030842294982
268,268,0.0,0.0340012323779295
269,269,0.0,0.0339717072250646
270,270,0.0,0.0339422663560878
271,271,0.0,0.0339129092990884
272,272,0.0,0.0338836355903273
273,273,0.0,0.0338544447740306
274,274,0.0,0.0338253364021844
275,275,0.0,0.033796310034337
276,276,0.0,0.0337673652374068
277,277,0.0,0.0337385015854946
278,278,0.0,0.0337097186597005
279,279,0.0,0.0336810160479475
280,280,0.0,0.0336523933448072
281,281,0.0,0.0336238501513332
282,282,0.0,0.0335953860748961
283,283,0.0,0.0335670007290255
284,284,0.0,0.0335386937332534
285,285,0.0,0.033510464712965
286,286,0.0,0.0334823132992503
287,287,0.0,0.0334542391287632
288,288,0.0,0.0334262418435804
289,289,0.0,0.0333983210910674
290,290,0.0,0.0333704765237463
291,291,0.0,0.033342707799168
292,292,0.0,0.0333150145797866
293,293,0.0,0.0332873965328398
294,294,0.0,0.0332598533302281
295,295,0.0,0.0332323846484026
296,296,0.0,0.0332049901682511
297,297,0.0,0.0331776695749902
298,298,0.0,0.0331504225580588
299,299,0.0,0.0331232488110153
