,Year,SLCP,CO2fe
260,260,0.0,-5.80599513655319e-5
261,261,0.0,-5.74901646687985e-5
262,262,0.0,-5.69294065749319e-5
263,263,0.0,-5.63775269902137e-5
264,264,0.0,-5.58343783244816e-5
265,265,0.0,-5.52998154506982e-5
266,266,0.0,-5.47736956619613e-5
267,267,0.0,-5.42558786338133e-5
268,268,0.0,-5.37462263812585e-5
269,269,0.0,-5.32446032222297e-5
270,270,0.0,-5.27508757381355e-5
271,271,0.0,-5.22649127360846e-5
272,272,0.0,-5.17865852118046e-5
273,273,0.0,-5.13157663137763e-5
274,274,0.0,-5.08523313056862e-5
275,275,0.0,-5.03961575330368e-5
276,276,0.0,-4.99471243874968e-5
277,277,0.0,-4.95051132721003e-5
278,278,0.0,-4.9070007569299e-5
279,279,0.0,-4.86416926059194e-5
280,280,0.0,-4.82200556232017e-5
281,281,0.0,-4.78049857418358e-5
282,282,0.0,-4.73963739336374e-5
283,283,0.0,-4.69941129882545e-5
284,284,0.0,-4.65980974845475e-5
285,285,0.0,-4.6208223759323e-5
286,286,0.0,-4.58243898790139e-5
287,287,0.0,-4.54464956106835e-5
288,288,0.0,-4.50744423926994e-5
289,289,0.0,-4.47081333085775e-5
290,290,0.0,-4.43474730575939e-5
291,291,0.0,-4.39923679293452e-5
292,292,0.0,-4.36427257764082e-5
293,293,0.0,-4.32984559885837e-5
294,294,0.0,-4.2959469466702e-5
295,295,0.0,-4.26256785983693e-5
296,296,0.0,-4.22969972325961e-5
297,297,0.0,-4.19733406549369e-5
298,298,0.0,-4.1654625564473e-5
299,299,0.0,-4.13407700495851e-5
